days,fips,tot_cases,tot_death,new_death,actual cases,predicted cases
89,12,4768,60,4,891,546.36
67,21,1,0,0,1,-0.023
144,13,40366,1814,6,979,592.684
78,45,60,1,0,13,14.288
325,51,215680,3938,26,2348,2356.438
208,1,79294,1473,17,1164,1840.814
270,37,206090,3440,31,1759,1571.267
258,28,90523,2734,28,505,874.652
131,28,9674,435,5,173,195.044
225,12,545040,8765,212,8059,5774.128
321,1,219232,3249,1,1410,1800.157
280,12,711358,14767,55,2202,2211.583
214,12,474621,7022,179,9591,8149.757
330,13,457909,9297,76,3177,3232.507
288,1,167977,2706,41,784,1178.862
120,12,32318,1218,47,332,865.181
77,28,34,0,0,22,4.153
156,21,10705,458,8,295,288.191
192,13,111956,2965,35,4623,3279.925
205,28,49663,1463,27,1610,1337.86
199,12,323002,4805,128,11362,9983.782
152,47,23159,366,0,439,272.914
282,13,348022,7294,35,1827,1779.445
295,28,113081,3231,8,958,784.016
83,45,298,5,2,103,62.517
236,51,113630,2471,28,1558,968.618
172,37,51399,1212,15,1549,1316.567
240,47,149179,1673,25,1826,1424.641
106,51,6889,208,13,389,363.205
220,47,118782,1206,20,2432,1786.403
72,51,29,0,0,14,3.147
184,12,166303,3617,67,10015,6258.524
122,51,16901,581,0,0,84.471
89,45,774,16,1,114,120.51
206,37,109577,1746,20,2145,2014.263
180,13,77596,2778,2,2186,1879.857
257,28,90018,2706,9,144,434.965
176,37,56194,1271,20,1724,1394.595
229,1,108433,1898,2,853,800.892
291,51,166138,3433,11,900,1072.498
193,51,70670,1966,4,888,906.713
130,12,40001,1715,46,802,416.186
324,1,225910,3419,72,2424,2519.319
186,28,30900,1111,4,226,547.573
307,21,109670,1492,3,1028,1461.296
221,1,100353,1751,20,1869,1571.568
143,1,13941,543,9,294,394.087
199,13,137102,3132,28,4233,4017.274
166,51,54886,1552,6,380,591.17
154,51,46905,1428,21,666,930.086
201,45,69986,1155,20,2374,1780.406
195,45,58168,972,11,1520,1973.989
254,21,54772,1035,22,795,795.112
200,47,76336,838,23,2517,2107.594
85,28,485,5,3,108,86.385
259,37,190645,3111,51,1210,1267.306
144,28,13252,625,10,247,279.097
146,45,10178,440,5,82,225.527
317,51,199263,3785,27,1235,1568.69
259,21,58000,1074,9,718,802.372
152,51,45398,1392,17,791,950.807
61,13,2,0,0,0,1.014
82,1,157,0,0,26,61.076
328,37,339194,5039,5,2419,2550.171
293,37,247172,3939,5,1144,2152.388
228,47,131747,1345,19,1289,1796.876
320,28,134898,3545,2,589,1201.63
70,47,7,0,0,6,2.813
