days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
89,12,4768,60,4,-50,-26,-48,-63,-41,13,891,608.643
67,21,1,0,0,15,16,85,15,4,-2,1,1.082
144,13,40366,1814,6,-18,2,62,-31,-18,5,979,680.722
78,45,60,1,0,-19,11,10,-4,-21,9,13,21.029
325,51,215680,3938,26,-18,-5,27,-31,-33,11,2348,2436.853
208,1,79294,1473,17,-13,-1,51,5,-18,4,1164,1828.581
270,37,206090,3440,31,-13,-1,73,-20,-10,2,1759,1564.605
258,28,90523,2734,28,-3,7,26,7,-21,2,505,930.331
131,28,9674,435,5,-11,14,39,-14,-23,3,173,217.517
225,12,545040,8765,212,-22,-15,-19,-42,-36,11,8059,5762.855
321,1,219232,3249,1,-12,-3,2,-9,-21,5,1410,1812.336
280,12,711358,14767,55,-22,-12,-30,-39,-30,8,2202,2353.656
214,12,474621,7022,179,-28,-11,-30,-46,-22,7,9591,8697.274
330,13,457909,9297,76,4,30,4,-20,-41,8,3177,3500.74
288,1,167977,2706,41,-8,-2,22,-5,-23,5,784,1097.079
120,12,32318,1218,47,-38,-18,-36,-51,-45,18,332,883.816
77,28,34,0,0,-3,21,34,2,-18,6,22,5.371
156,21,10705,458,8,-9,8,48,-13,-33,10,295,253.02
192,13,111956,2965,35,-13,-4,68,-31,-37,10,4623,3283.922
205,28,49663,1463,27,-5,0,27,2,-28,8,1610,1381.042
199,12,323002,4805,128,-25,-13,-20,-43,-37,13,11362,10129.055
152,47,23159,366,0,-6,7,105,-13,-14,2,439,286.24
282,13,348022,7294,35,-13,-6,22,-29,-30,8,1827,1796.692
295,28,113081,3231,8,-8,-5,21,7,-18,4,958,805.074
83,45,298,5,2,-34,-7,-21,-25,-30,13,103,81.549
236,51,113630,2471,28,-15,-4,96,-23,-15,3,1558,946.178
172,37,51399,1212,15,-13,8,95,-16,-10,2,1549,1500.994
240,47,149179,1673,25,-9,-3,56,-13,-28,6,1826,1309.344
106,51,6889,208,13,-33,-12,1,-49,-50,21,389,352.974
220,47,118782,1206,20,-8,-1,98,-10,-31,7,2432,1928.354
72,51,29,0,0,7,20,44,-3,-3,0,14,5.664
184,12,166303,3617,67,-16,-4,-10,-34,-37,11,10015,4575.811
122,51,16901,581,0,-30,-8,13,-45,-47,20,0,96.502
89,45,774,16,1,-38,-11,-4,-34,-34,9,114,110.795
206,37,109577,1746,20,-12,-1,69,-23,-34,9,2145,1862.363
180,13,77596,2778,2,-14,-4,55,-31,-15,4,2186,1870.686
257,28,90018,2706,9,-9,0,24,8,-19,1,144,599.647
176,37,56194,1271,20,-9,2,70,-22,-33,9,1724,1453.924
229,1,108433,1898,2,-11,0,51,6,-17,3,853,795.999
291,51,166138,3433,11,-13,1,99,-16,-11,2,900,964.483
193,51,70670,1966,4,-17,3,118,-15,-12,3,888,1013.372
130,12,40001,1715,46,-33,-3,-26,-49,-28,9,802,591.489
324,1,225910,3419,72,-13,-1,-3,-9,-21,6,2424,2616.248
186,28,30900,1111,4,-30,-2,53,-15,-30,5,226,571.13
307,21,109670,1492,3,-12,-4,2,-11,-27,8,1028,1367.09
221,1,100353,1751,20,-12,3,68,12,-10,2,1869,1514.344
143,1,13941,543,9,-11,4,40,-3,-32,11,294,377.459
199,13,137102,3132,28,-13,-3,69,-31,-38,10,4233,3871.012
166,51,54886,1552,6,-17,-2,109,-23,-15,4,380,689.044
154,51,46905,1428,21,-18,0,76,-35,-40,14,666,889.429
201,45,69986,1155,20,-10,3,57,8,-17,4,2374,1733.034
195,45,58168,972,11,-6,3,55,-4,-30,8,1520,1835.827
254,21,54772,1035,22,-11,2,94,-8,-31,5,795,810.54
200,47,76336,838,23,-11,6,131,1,-10,2,2517,1837.11
85,28,485,5,3,-24,-5,26,-13,-34,13,108,89.757
259,37,190645,3111,51,-10,0,79,-24,-30,7,1210,1330.197
144,28,13252,625,10,-9,8,45,-2,-16,4,247,324.909
146,45,10178,440,5,-13,0,68,-18,-65,18,82,274.159
317,51,199263,3785,27,-24,-13,-17,-40,-37,15,1235,2361.794
