days,fips,tot_cases,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
89,12,4768,60,4,-50,-26,-48,-63,-41,13,891,608.643,31.68989899,68.31010101,609,31.64983165,68.35016835
67,21,1,0,0,15,16,85,15,4,-2,1,1.082,8.2,91.8,1,0,100
144,13,40366,1814,6,-18,2,62,-31,-18,5,979,680.722,30.46762002,69.53237998,681,30.4392237,69.5607763
78,45,60,1,0,-19,11,10,-4,-21,9,13,21.029,61.76153846,38.23846154,21,61.53846154,38.46153846
325,51,215680,3938,26,-18,-5,27,-31,-33,11,2348,2436.853,3.784199319,96.21580068,2437,3.790459966,96.20954003
208,1,79294,1473,17,-13,-1,51,5,-18,4,1164,1828.581,57.09458763,42.90541237,1829,57.13058419,42.86941581
270,37,206090,3440,31,-13,-1,73,-20,-10,2,1759,1564.605,11.05144969,88.94855031,1565,11.02899375,88.97100625
258,28,90523,2734,28,-3,7,26,7,-21,2,505,930.331,84.2239604,15.7760396,930,84.15841584,15.84158416
131,28,9674,435,5,-11,14,39,-14,-23,3,173,217.517,25.73236994,74.26763006,218,26.01156069,73.98843931
225,12,545040,8765,212,-22,-15,-19,-42,-36,11,8059,5762.855,28.49168631,71.50831369,5763,28.48988708,71.51011292
321,1,219232,3249,1,-12,-3,2,-9,-21,5,1410,1812.336,28.53446809,71.46553191,1812,28.5106383,71.4893617
280,12,711358,14767,55,-22,-12,-30,-39,-30,8,2202,2353.656,6.88719346,93.11280654,2354,6.902815622,93.09718438
214,12,474621,7022,179,-28,-11,-30,-46,-22,7,9591,8697.274,9.318381816,90.68161818,8697,9.321238661,90.67876134
330,13,457909,9297,76,4,30,4,-20,-41,8,3177,3500.74,10.19011646,89.80988354,3501,10.19830028,89.80169972
288,1,167977,2706,41,-8,-2,22,-5,-23,5,784,1097.079,39.93354592,60.06645408,1097,39.92346939,60.07653061
120,12,32318,1218,47,-38,-18,-36,-51,-45,18,332,883.816,166.2096386,-66.20963855,884,166.2650602,-66.26506024
