days,fips,new_case,tot_death,parks_%change,actual cases,predicted cases
89,12,891,60,-48,4768,3964.147
67,21,1,0,85,1,1.939
144,13,979,1814,62,40366,41207.504
78,45,13,1,10,60,50.38
325,51,2348,3938,27,215680,219653.578
208,1,1164,1473,51,79294,77494.663
270,37,1759,3440,73,206090,195424.541
258,28,505,2734,26,90523,91816.476
131,28,173,435,39,9674,10243.982
225,12,8059,8765,-19,545040,539531.826
321,1,1410,3249,2,219232,195834.326
280,12,2202,14767,-30,711358,710267.645
214,12,9591,7022,-30,474621,465616.366
330,13,3177,9297,4,457909,461409.69
288,1,784,2706,22,167977,164336.696
120,12,332,1218,-36,32318,31279.313
77,28,22,0,34,34,76.92
156,21,295,458,48,10705,11072.131
192,13,4623,2965,68,111956,115789.264
205,28,1610,1463,27,49663,54980.399
199,12,11362,4805,-20,323002,320984.851
152,47,439,366,105,23159,22991.315
282,13,1827,7294,22,348022,346909.639
295,28,958,3231,21,113081,115385.809
83,45,103,5,-21,298,351.318
236,51,1558,2471,96,113630,124049.914
172,37,1549,1212,95,51399,50039.56
240,47,1826,1673,56,149179,146906.309
106,51,389,208,1,6889,7159.43
220,47,2432,1206,98,118782,117552.8
72,51,14,0,44,29,36.1
184,12,10015,3617,-10,166303,168742.002
122,51,0,581,13,16901,17232.474
89,45,114,16,-4,774,953.893
206,37,2145,1746,69,109577,107271.384
180,13,2186,2778,55,77596,79251.659
257,28,144,2706,24,90018,90688.911
176,37,1724,1271,70,56194,55091.681
229,1,853,1898,51,108433,107168.562
291,51,900,3433,99,166138,169908.088
193,51,888,1966,118,70670,71121.683
130,12,802,1715,-26,40001,39733.422
324,1,2424,3419,-3,225910,224727.331
186,28,226,1111,53,30900,33042.077
307,21,1028,1492,2,109670,108970.831
221,1,1869,1751,68,100353,101764.132
143,1,294,543,40,13941,13912.954
199,13,4233,3132,69,137102,135960.408
166,51,380,1552,109,54886,54699.677
154,51,666,1428,76,46905,46946.913
201,45,2374,1155,57,69986,68817.873
195,45,1520,972,55,58168,56704.594
254,21,795,1035,94,54772,54841.264
200,47,2517,838,131,76336,75821.493
85,28,108,5,26,485,552.563
259,37,1210,3111,79,190645,188444.709
144,28,247,625,45,13252,13799.006
146,45,82,440,68,10178,10256.236
317,51,1235,3785,-17,199263,190702.386
259,21,718,1074,101,58000,58079.022
152,51,791,1392,96,45398,44917.402
61,13,0,0,49,2,1.911
82,1,26,0,2,157,137.818
328,37,2419,5039,21,339194,337298.243
293,37,1144,3939,58,247172,209328.452
228,47,1289,1345,97,131747,129492.408
320,28,589,3545,4,134898,133193.199
70,47,6,0,26,7,13.825
228,51,938,2382,31,106691,105183.229
244,47,1818,1754,34,154933,150005.215
280,21,1036,1218,69,74194,74361.287
93,21,90,31,42,770,977.376
147,47,358,344,54,21089,20692.958
130,1,284,394,39,9923,9598.999
140,21,134,366,30,8069,8269.841
222,12,6190,8186,-18,527036,522305.995
181,45,1324,720,61,34644,33247.921
168,28,489,939,57,20641,23233.919
135,51,859,977,40,28672,29198.286
319,13,3035,8956,41,422905,423528.704
69,21,0,0,39,1,2.349
222,47,2127,1223,94,122712,120985.84
106,1,288,75,10,4241,4095.229
126,1,367,323,16,8679,7985.298
313,28,516,3443,10,127205,124815.549
257,21,530,1060,85,56945,56743.345
205,45,1564,1334,43,76606,70937.247
163,21,62,493,113,11945,12044.594
246,12,2310,11501,-21,626426,627299.16
195,13,3790,3026,48,121518,120916.752
97,47,170,65,3,3803,3073.783
161,45,428,568,59,15228,15392.999
84,37,101,0,-8,398,402.893
314,47,5919,3610,33,287770,282692.217
205,1,2458,1399,31,74344,70538.721
301,51,1345,3616,50,176754,175542.172
265,45,416,3212,44,138124,140708.182
280,51,509,3303,67,153691,151233.919
77,21,4,0,33,26,39.564
92,45,210,26,-26,1293,1677.147
334,28,1485,3807,-34,153270,157357.76
76,12,6,5,0,142,40.858
206,45,2001,1385,37,78607,74828.111
219,45,1325,1943,34,96797,98450.12
169,28,0,938,55,20641,20854.464
105,45,114,97,-11,3553,3864.854
305,1,1789,2967,47,192285,200515.41
133,12,941,1779,-24,41923,40538.19
329,12,8102,18157,-21,938830,930056.617
304,21,1937,1476,45,105242,105853.882
108,28,0,140,-6,3793,3586.624
72,13,33,1,23,88,86.263
228,21,632,810,183,38930,38839.452
332,37,8008,5210,51,354514,361024.154
289,21,1182,1296,41,84195,84765.423
296,45,1128,3755,29,167485,172801.859
251,45,655,2907,90,125607,131414.299
273,13,1368,6994,-21,333811,347172.353
240,45,505,2628,31,114598,117052.636
