days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
89,12,891,4,-50,-26,-48,-63,-41,13,4768,6182.276
67,21,1,0,15,16,85,15,4,-2,1,1.677
144,13,979,6,-18,2,62,-31,-18,5,40366,35622.197
78,45,13,0,-19,11,10,-4,-21,9,60,56.011
325,51,2348,26,-18,-5,27,-31,-33,11,215680,224033.818
208,1,1164,17,-13,-1,51,5,-18,4,79294,76105.893
270,37,1759,31,-13,-1,73,-20,-10,2,206090,199855.092
258,28,505,28,-3,7,26,7,-21,2,90523,91455.713
131,28,173,5,-11,14,39,-14,-23,3,9674,8547.661
225,12,8059,212,-22,-15,-19,-42,-36,11,545040,540767.799
321,1,1410,1,-12,-3,2,-9,-21,5,219232,213454.05
280,12,2202,55,-22,-12,-30,-39,-30,8,711358,657623.652
214,12,9591,179,-28,-11,-30,-46,-22,7,474621,444632.586
330,13,3177,76,4,30,4,-20,-41,8,457909,428464.517
288,1,784,41,-8,-2,22,-5,-23,5,167977,166435.096
120,12,332,47,-38,-18,-36,-51,-45,18,32318,26570.479
77,28,22,0,-3,21,34,2,-18,6,34,72.062
156,21,295,8,-9,8,48,-13,-33,10,10705,15153.759
192,13,4623,35,-13,-4,68,-31,-37,10,111956,133272.884
205,28,1610,27,-5,0,27,2,-28,8,49663,55227.546
199,12,11362,128,-25,-13,-20,-43,-37,13,323002,315552.072
152,47,439,0,-6,7,105,-13,-14,2,23159,23452.053
282,13,1827,35,-13,-6,22,-29,-30,8,348022,346321.94
295,28,958,8,-8,-5,21,7,-18,4,113081,112105.101
83,45,103,2,-34,-7,-21,-25,-30,13,298,426.722
236,51,1558,28,-15,-4,96,-23,-15,3,113630,135245.972
172,37,1549,15,-13,8,95,-16,-10,2,51399,46289.368
240,47,1826,25,-9,-3,56,-13,-28,6,149179,147834.668
106,51,389,13,-33,-12,1,-49,-50,21,6889,6596.192
220,47,2432,20,-8,-1,98,-10,-31,7,118782,153804.726
72,51,14,0,7,20,44,-3,-3,0,29,35.805
184,12,10015,67,-16,-4,-10,-34,-37,11,166303,195405.337
122,51,0,0,-30,-8,13,-45,-47,20,16901,13300.345
89,45,114,1,-38,-11,-4,-34,-34,9,774,1081.942
206,37,2145,20,-12,-1,69,-23,-34,9,109577,108007.008
180,13,2186,2,-14,-4,55,-31,-15,4,77596,79223.659
257,28,144,9,-9,0,24,8,-19,1,90018,90300.256
176,37,1724,20,-9,2,70,-22,-33,9,56194,59126.242
229,1,853,2,-11,0,51,6,-17,3,108433,106603.084
291,51,900,11,-13,1,99,-16,-11,2,166138,169778.831
193,51,888,4,-17,3,118,-15,-12,3,70670,66983.418
130,12,802,46,-33,-3,-26,-49,-28,9,40001,37203.371
324,1,2424,72,-13,-1,-3,-9,-21,6,225910,294295.266
186,28,226,4,-30,-2,53,-15,-30,5,30900,43400.608
307,21,1028,3,-12,-4,2,-11,-27,8,109670,125917.838
221,1,1869,20,-12,3,68,12,-10,2,100353,90933.931
