days,fips,new_case,tot_death,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
89,12,891,60,4,-50,-26,-48,-63,-41,13,4768,3801.073
67,21,1,0,0,15,16,85,15,4,-2,1,1.741
144,13,979,1814,6,-18,2,62,-31,-18,5,40366,41636.403
78,45,13,1,0,-19,11,10,-4,-21,9,60,56.799
325,51,2348,3938,26,-18,-5,27,-31,-33,11,215680,219013.442
208,1,1164,1473,17,-13,-1,51,5,-18,4,79294,75521.629
270,37,1759,3440,31,-13,-1,73,-20,-10,2,206090,201336.663
258,28,505,2734,28,-3,7,26,7,-21,2,90523,94057.492
131,28,173,435,5,-11,14,39,-14,-23,3,9674,10550.434
225,12,8059,8765,212,-22,-15,-19,-42,-36,11,545040,529508.723
321,1,1410,3249,1,-12,-3,2,-9,-21,5,219232,201460.218
280,12,2202,14767,55,-22,-12,-30,-39,-30,8,711358,710614.405
214,12,9591,7022,179,-28,-11,-30,-46,-22,7,474621,456851.354
330,13,3177,9297,76,4,30,4,-20,-41,8,457909,454743.918
288,1,784,2706,41,-8,-2,22,-5,-23,5,167977,167849.868
120,12,332,1218,47,-38,-18,-36,-51,-45,18,32318,31911.224
77,28,22,0,0,-3,21,34,2,-18,6,34,71.87
156,21,295,458,8,-9,8,48,-13,-33,10,10705,11345.73
192,13,4623,2965,35,-13,-4,68,-31,-37,10,111956,116137.152
205,28,1610,1463,27,-5,0,27,2,-28,8,49663,57997.907
199,12,11362,4805,128,-25,-13,-20,-43,-37,13,323002,327385.814
152,47,439,366,0,-6,7,105,-13,-14,2,23159,23077.918
282,13,1827,7294,35,-13,-6,22,-29,-30,8,348022,346663.879
295,28,958,3231,8,-8,-5,21,7,-18,4,113081,114527.123
83,45,103,5,2,-34,-7,-21,-25,-30,13,298,403.104
236,51,1558,2471,28,-15,-4,96,-23,-15,3,113630,125931.767
172,37,1549,1212,15,-13,8,95,-16,-10,2,51399,49955.894
240,47,1826,1673,25,-9,-3,56,-13,-28,6,149179,146377.168
106,51,389,208,13,-33,-12,1,-49,-50,21,6889,7169.006
220,47,2432,1206,20,-8,-1,98,-10,-31,7,118782,118727.02
72,51,14,0,0,7,20,44,-3,-3,0,29,35.527
184,12,10015,3617,67,-16,-4,-10,-34,-37,11,166303,170137.018
122,51,0,581,0,-30,-8,13,-45,-47,20,16901,17308.94
89,45,114,16,1,-38,-11,-4,-34,-34,9,774,1007.705
206,37,2145,1746,20,-12,-1,69,-23,-34,9,109577,107924.658
180,13,2186,2778,2,-14,-4,55,-31,-15,4,77596,81147.093
257,28,144,2706,9,-9,0,24,8,-19,1,90018,91190.425
176,37,1724,1271,20,-9,2,70,-22,-33,9,56194,54885.218
229,1,853,1898,2,-11,0,51,6,-17,3,108433,100519.12
291,51,900,3433,11,-13,1,99,-16,-11,2,166138,173927.911
193,51,888,1966,4,-17,3,118,-15,-12,3,70670,71553.714
130,12,802,1715,46,-33,-3,-26,-49,-28,9,40001,39226.221
324,1,2424,3419,72,-13,-1,-3,-9,-21,6,225910,235658.94
186,28,226,1111,4,-30,-2,53,-15,-30,5,30900,37033.384
307,21,1028,1492,3,-12,-4,2,-11,-27,8,109670,113834.96
221,1,1869,1751,20,-12,3,68,12,-10,2,100353,95731.42
143,1,294,543,9,-11,4,40,-3,-32,11,13941,13862.588
199,13,4233,3132,28,-13,-3,69,-31,-38,10,137102,136024.502
166,51,380,1552,6,-17,-2,109,-23,-15,4,54886,54524.64
154,51,666,1428,21,-18,0,76,-35,-40,14,46905,46859.583
201,45,2374,1155,20,-10,3,57,8,-17,4,69986,65858.572
195,45,1520,972,11,-6,3,55,-4,-30,8,58168,57505.565
254,21,795,1035,22,-11,2,94,-8,-31,5,54772,56981.629
200,47,2517,838,23,-11,6,131,1,-10,2,76336,73962.32
85,28,108,5,3,-24,-5,26,-13,-34,13,485,512.685
259,37,1210,3111,51,-10,0,79,-24,-30,7,190645,186372.445
144,28,247,625,10,-9,8,45,-2,-16,4,13252,14756.543
146,45,82,440,5,-13,0,68,-18,-65,18,10178,11227.965
317,51,1235,3785,27,-24,-13,-17,-40,-37,15,199263,188771.276
259,21,718,1074,9,-7,4,101,-3,-27,5,58000,58274.561
152,51,791,1392,17,-23,-4,96,-30,-17,5,45398,44570.966
61,13,0,0,0,13,7,49,8,2,-2,2,1.502
82,1,26,0,0,-40,-7,2,-22,-27,9,157,157.081
328,37,2419,5039,5,-9,5,21,-31,-29,7,339194,334591.362
293,37,1144,3939,5,-11,-1,58,-21,-29,6,247172,207046.13
228,47,1289,1345,19,-10,3,97,-3,-11,2,131747,120539.436
320,28,589,3545,2,-11,-7,4,2,-18,3,134898,138253.039
70,47,6,0,0,8,8,26,3,-1,1,7,14.469
228,51,938,2382,1,-22,-7,31,-22,-17,6,106691,106694.429
244,47,1818,1754,7,-8,-5,34,-16,-28,7,154933,150548.385
280,21,1036,1218,4,-10,1,69,-3,-29,5,74194,74918.953
93,21,90,31,11,-33,-3,42,-30,-46,17,770,1118.551
147,47,358,344,5,-7,4,54,-17,-32,10,21089,20683.973
130,1,284,394,8,-15,20,39,-3,-18,5,9923,9259.274
140,21,134,366,20,-20,4,30,-19,-37,13,8069,8741.487
222,12,6190,8186,77,-25,-16,-18,-43,-22,6,527036,503500.073
181,45,1324,720,4,-1,4,61,1,-29,8,34644,33399.4
168,28,489,939,24,6,10,57,3,-25,6,20641,22681.768
135,51,859,977,22,-29,-6,40,-42,-46,18,28672,29741.226
319,13,3035,8956,51,-12,-6,41,-25,-9,3,422905,426396.819
69,21,0,0,0,8,11,39,2,1,0,1,2.998
222,47,2127,1223,8,-7,3,94,-6,-16,2,122712,119938.867
106,1,288,75,2,-19,-2,10,-24,-40,15,4241,3879.063
126,1,367,323,23,-12,9,16,-14,-33,12,8679,8073.573
313,28,516,3443,0,-10,-7,10,6,-16,2,127205,127036.485
257,21,530,1060,3,-14,-1,85,1,-13,1,56945,56882.739
205,45,1564,1334,49,-6,1,43,-2,-31,9,76606,71919.176
163,21,62,493,9,-4,11,113,-7,-32,8,11945,11929.199
246,12,2310,11501,127,-23,-16,-21,-41,-34,9,626426,627024.445
195,13,3790,3026,25,-10,-1,48,-34,-38,10,121518,122160.411
97,47,170,65,21,-35,-9,3,-35,-43,16,3803,3212.122
161,45,428,568,11,0,7,59,5,-28,8,15228,14970.278
84,37,101,0,0,-31,-4,-8,-38,-34,15,398,436.734
314,47,5919,3610,15,-10,-5,33,-14,-23,7,287770,279950.319
205,1,2458,1399,36,-8,2,31,1,-30,9,74344,67060.45
301,51,1345,3616,16,-15,-4,50,-32,-34,10,176754,177177.514
265,45,416,3212,13,-7,-3,44,-6,-25,5,138124,149461.457
280,51,509,3303,12,-13,-2,67,-34,-35,9,153691,154335.152
77,21,4,0,0,-19,17,33,-6,-19,8,26,42.701
92,45,210,26,4,-30,-3,-26,-26,-40,15,1293,1606.669
334,28,1485,3807,1,-23,-20,-34,14,-24,7,153270,156793.882
76,12,6,5,1,-6,14,0,-16,-18,6,142,45.39
206,45,2001,1385,51,-11,-2,37,-1,-31,9,78607,72557.317
219,45,1325,1943,49,-8,-2,34,-4,-31,9,96797,98079.577
169,28,0,938,-1,8,9,55,8,-26,6,20641,20703.09
105,45,114,97,10,-29,-6,-11,-27,-41,15,3553,3844.593
305,1,1789,2967,35,-11,6,47,-6,-9,-1,192285,202708.663
133,12,941,1779,44,-30,-12,-24,-45,-39,15,41923,40515.922
329,12,8102,18157,72,-11,1,-21,-28,-34,8,938830,926584.461
304,21,1937,1476,15,-9,3,45,-6,-26,6,105242,109608.192
108,28,0,140,0,-27,-9,-6,-29,-39,16,3793,3619.328
72,13,33,1,1,8,24,23,-2,-1,0,88,83.536
228,21,632,810,6,-10,8,183,4,-11,1,38930,38219.062
332,37,8008,5210,72,-23,-15,51,-40,-60,16,354514,362878.751
289,21,1182,1296,20,-12,1,41,-3,-27,7,84195,85311.137
296,45,1128,3755,47,-8,-4,29,-3,-23,6,167485,172702.438
251,45,655,2907,20,-8,-2,90,-8,-66,15,125607,133068.852
273,13,1368,6994,33,-16,-7,-21,-35,-31,10,333811,338738.263
240,45,505,2628,55,-9,-3,31,-5,-28,7,114598,117615.906
316,13,2232,8333,-397,-12,-8,-15,-33,-34,11,413415,410210.174
214,47,2225,1067,7,-6,7,108,1,-10,2,108184,105094.414
297,1,3852,2859,16,-11,-6,20,-8,-22,5,180916,216281.257
185,47,1822,633,13,1,19,157,-11,-55,11,48712,46614.161
116,28,284,221,12,-26,-2,3,-25,-25,9,5718,5958.267
126,51,764,713,29,-28,-6,5,-45,-47,19,20256,20408.792
93,13,637,176,22,-29,11,-15,-46,-47,19,5443,6559.979
268,47,835,2310,35,-12,-6,14,-16,-25,8,187544,168678.442
142,1,347,534,10,-5,9,40,-4,-30,10,13647,13544.895
270,47,1437,2374,22,-9,1,111,-8,-6,0,190891,187191.071
156,45,354,525,7,-2,7,38,2,-28,9,13005,13352.472
206,28,1434,1480,17,-12,-7,18,-1,-30,9,51097,63677.017
133,37,301,577,27,-20,1,42,-31,-38,14,15346,14408.991
114,12,1052,987,60,-43,-21,-47,-55,-47,20,28843,28457.106
87,1,108,3,2,-30,-2,30,-24,-37,16,639,587.763
320,47,5817,3893,16,-10,-2,16,-14,-15,3,310937,298698.884
246,13,2386,5795,62,-11,-6,35,-31,-34,8,285667,286290.537
114,1,240,198,11,-35,-13,-31,-33,-42,20,6071,4910.843
148,37,488,794,28,-20,-6,-2,-32,-35,14,24629,21671.321
86,21,50,5,0,-33,-6,84,-27,-41,15,248,418.995
128,45,206,316,11,-15,4,10,-15,-35,13,7142,7203.698
286,12,1519,15412,48,-22,-15,-24,-36,-33,8,726934,724718.19
289,12,3286,15736,141,-22,-13,-21,-34,-29,8,735685,736206.077
192,37,2007,1479,18,-12,0,85,-21,-34,9,81534,80593.906
283,13,2011,7348,54,-14,-8,27,-27,-31,8,350033,351799.832
208,21,315,700,4,-11,2,136,2,-15,2,27079,27080.074
74,28,5,0,0,3,21,41,10,0,-1,6,14.5
170,21,202,520,2,-6,9,93,-8,-32,8,13197,13292.257
174,37,805,1223,3,-10,1,79,-23,-35,9,53616,50140.038
102,12,997,446,27,-49,-20,-54,-65,-40,15,18445,15949.411
236,12,3004,10325,51,-25,-16,-28,-44,-22,6,594287,590456.992
230,28,1071,2128,44,-7,-3,17,0,-27,5,73207,79344.192
107,21,138,129,7,-28,-4,29,-31,-45,17,2429,2863.082
132,45,139,346,15,-13,1,24,-14,-33,11,7792,8185.564
69,45,1,0,0,9,8,53,7,2,-1,7,1.948
245,21,789,948,15,-6,6,77,-6,-29,6,49185,48797.577
190,12,9882,3953,112,-22,-12,-14,-39,-36,12,220476,217908.095
236,13,1812,5132,40,-17,-7,33,-32,-19,4,262099,264286.302
95,51,395,52,6,-45,-14,4,-51,-34,14,2407,2868.489
96,1,208,31,5,-50,-18,-1,-40,-36,12,1841,2019.903
194,21,268,625,3,-10,3,122,1,-14,2,19389,20230.125
95,1,98,26,5,-41,8,4,-33,-26,11,1633,1482.186
293,51,926,3485,28,-14,-5,41,-32,-33,10,167754,169036.105
205,37,1945,1726,28,-13,-2,44,-25,-35,11,107432,104428.901
85,21,35,5,1,-33,-5,69,-23,-40,15,198,328.451
265,1,818,2439,2,-9,-4,28,-5,-26,5,145780,151554.155
263,45,922,3188,11,-8,1,67,-2,-11,1,137240,149472.847
171,1,803,823,13,-6,5,72,4,-29,6,29017,28119.833
98,21,141,65,6,-33,-3,55,-28,-47,16,1149,1604.043
218,47,1657,1144,27,-3,5,101,-10,-32,7,114098,111705.188
240,12,3229,10868,135,-25,-16,-23,-41,-34,10,605342,604961.118
179,12,9518,3390,24,-26,-10,-13,-40,-17,6,130092,126448.734
274,21,984,1174,4,-9,2,68,-5,-27,5,68840,68415.139
314,37,1521,4615,8,-14,-3,27,-28,-28,7,294860,288209.095
198,12,13764,4677,156,-22,-10,-15,-41,-37,12,311640,309745.506
311,47,1373,3541,32,-12,-7,38,-14,-23,6,273144,194238.721
298,37,2584,4144,30,-12,-1,100,-16,-10,1,258292,252284.639
255,1,1138,2333,32,-11,-6,38,-7,-26,4,136703,137417.094
220,21,542,764,4,-9,4,159,-4,-32,7,33796,33705.529
127,13,802,1327,69,-18,-2,17,-40,-42,15,28998,30713.673
121,13,537,1111,57,-23,-4,-15,-44,-45,18,25241,29061.073
276,47,971,2515,14,-7,-1,62,-10,-24,4,198403,178278.044
99,13,1130,371,20,-39,-14,-6,-49,-52,20,10080,10188.558
318,1,2980,3231,18,-12,-6,11,-11,-21,6,213617,225207.579
328,47,4074,4301,35,-5,2,18,-14,-28,8,344550,321800.893
239,47,1936,1648,20,-8,0,69,-16,-28,7,147353,143918.333
82,37,71,0,0,-39,-10,-7,-42,-29,9,255,287.731
240,28,599,2413,14,-14,-10,8,-6,-24,8,81294,109635.687
248,21,792,987,11,-8,6,133,3,-33,6,51677,52419.307
163,51,564,1534,14,-17,-1,50,-35,-40,14,53211,52813.843
243,12,2547,11119,14,-27,-19,-34,-46,-23,6,614753,615132.372
197,1,1805,1211,45,-3,3,42,1,-31,8,59113,56468.438
151,47,484,366,5,-9,8,133,-5,-5,1,22720,22382.064
289,45,1297,3607,14,-8,-3,25,-2,-24,6,161106,168797.599
304,28,824,3334,6,-10,-6,0,8,-25,2,120160,120950.028
83,1,39,0,0,-33,-6,-11,-22,-33,14,196,234.493
100,1,339,48,0,-35,-4,5,-31,-43,18,2838,2785.525
129,28,288,422,13,-20,-3,-12,-19,-34,15,9378,11210.423
173,13,885,2643,1,-14,0,50,-35,-18,2,64673,65857.865
191,28,1031,1215,11,-2,3,38,3,-29,8,34622,38654.161
128,37,639,507,30,-22,2,29,-37,-40,15,13397,13276.625
