days,fips,tot_cases,new_case,parks_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
89,12,4768,891,-48,60,84.034,40.05666667,59.94333333,84,40,60
144,13,40366,979,62,1814,1693.34,6.651598677,93.34840132,1693,6.670341786,93.32965821
78,45,60,13,10,1,0.747,25.3,74.7,1,0,100
325,51,215680,2348,27,3938,3931.419,0.167115287,99.83288471,3931,0.177755206,99.82224479
208,1,79294,1164,51,1473,1527.484,3.698845893,96.30115411,1527,3.66598778,96.33401222
270,37,206090,1759,73,3440,3377.202,1.825523256,98.17447674,3377,1.831395349,98.16860465
258,28,90523,505,26,2734,2721.854,0.444257498,99.5557425,2722,0.438917337,99.56108266
131,28,9674,173,39,435,421.747,3.046666667,96.95333333,422,2.988505747,97.01149425
225,12,545040,8059,-19,8765,8599.739,1.885464917,98.11453508,8600,1.882487165,98.11751284
321,1,219232,1410,2,3249,3264.452,0.47559249,99.52440751,3264,0.461680517,99.53831948
280,12,711358,2202,-30,14767,14758.147,0.059951243,99.94004876,14758,0.060946705,99.93905329
214,12,474621,9591,-30,7022,6835.855,2.650882939,97.34911706,6836,2.648818001,97.351182
330,13,457909,3177,4,9297,9261.795,0.378670539,99.62132946,9262,0.376465527,99.62353447
288,1,167977,784,22,2706,2690.694,0.565631929,99.43436807,2691,0.554323725,99.44567627
120,12,32318,332,-36,1218,1197.745,1.662972085,98.33702791,1198,1.642036125,98.35796388
156,21,10705,295,48,458,466.067,1.761353712,98.23864629,466,1.746724891,98.25327511
192,13,111956,4623,68,2965,2868.571,3.252242833,96.74775717,2869,3.23777403,96.76222597
205,28,49663,1610,27,1463,1441.418,1.47518797,98.52481203,1441,1.503759398,98.4962406
199,12,323002,11362,-20,4805,4862.238,1.191217482,98.80878252,4862,1.186264308,98.81373569
152,47,23159,439,105,366,367.816,0.496174863,99.50382514,368,0.546448087,99.45355191
282,13,348022,1827,22,7294,7258.923,0.480902111,99.51909789,7259,0.479846449,99.52015355
295,28,113081,958,21,3231,3212.779,0.563943052,99.43605695,3213,0.557103064,99.44289694
83,45,298,103,-21,5,4.825,3.5,96.5,5,0,100
236,51,113630,1558,96,2471,2320.194,6.103035208,93.89696479,2320,6.110886281,93.88911372
172,37,51399,1549,95,1212,1210.099,0.156848185,99.84315182,1210,0.165016502,99.8349835
240,47,149179,1826,56,1673,1764.614,5.476031082,94.52396892,1765,5.499103407,94.50089659
106,51,6889,389,1,208,199.422,4.124038462,95.87596154,199,4.326923077,95.67307692
220,47,118782,2432,98,1206,1229.541,1.95199005,98.04800995,1230,1.990049751,98.00995025
184,12,166303,10015,-10,3617,3471.372,4.026209566,95.97379043,3471,4.036494332,95.96350567
122,51,16901,0,13,581,546.405,5.954388985,94.04561102,546,6.024096386,93.97590361
89,45,774,114,-4,16,9.087,43.20625,56.79375,9,43.75,56.25
