days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
89,12,891,4,-50,-26,-48,-63,-41,13,60,72.798
67,21,1,0,15,16,85,15,4,-2,0,0.009
144,13,979,6,-18,2,62,-31,-18,5,1814,1667.454
78,45,13,0,-19,11,10,-4,-21,9,1,0.287
325,51,2348,26,-18,-5,27,-31,-33,11,3938,3961.86
208,1,1164,17,-13,-1,51,5,-18,4,1473,1481.698
270,37,1759,31,-13,-1,73,-20,-10,2,3440,3335.791
258,28,505,28,-3,7,26,7,-21,2,2734,2762.159
131,28,173,5,-11,14,39,-14,-23,3,435,354.493
225,12,8059,212,-22,-15,-19,-42,-36,11,8765,8501.037
321,1,1410,1,-12,-3,2,-9,-21,5,3249,3257.715
280,12,2202,55,-22,-12,-30,-39,-30,8,14767,13741.519
214,12,9591,179,-28,-11,-30,-46,-22,7,7022,6981.319
330,13,3177,76,4,30,4,-20,-41,8,9297,8208.548
288,1,784,41,-8,-2,22,-5,-23,5,2706,2673.916
120,12,332,47,-38,-18,-36,-51,-45,18,1218,1018.787
77,28,22,0,-3,21,34,2,-18,6,0,0.196
156,21,295,8,-9,8,48,-13,-33,10,458,515.2
192,13,4623,35,-13,-4,68,-31,-37,10,2965,3200.332
205,28,1610,27,-5,0,27,2,-28,8,1463,1369.703
199,12,11362,128,-25,-13,-20,-43,-37,13,4805,4761.226
152,47,439,0,-6,7,105,-13,-14,2,366,405.486
282,13,1827,35,-13,-6,22,-29,-30,8,7294,7256.27
295,28,958,8,-8,-5,21,7,-18,4,3231,3231.626
83,45,103,2,-34,-7,-21,-25,-30,13,5,7.368
236,51,1558,28,-15,-4,96,-23,-15,3,2471,2429.863
172,37,1549,15,-13,8,95,-16,-10,2,1212,1170.87
240,47,1826,25,-9,-3,56,-13,-28,6,1673,1743.407
106,51,389,13,-33,-12,1,-49,-50,21,208,170.48
220,47,2432,20,-8,-1,98,-10,-31,7,1206,1506.242
72,51,14,0,7,20,44,-3,-3,0,0,0.336
184,12,10015,67,-16,-4,-10,-34,-37,11,3617,4027.201
122,51,0,0,-30,-8,13,-45,-47,20,581,482.266
89,45,114,1,-38,-11,-4,-34,-34,9,16,6.471
206,37,2145,20,-12,-1,69,-23,-34,9,1746,1767.005
180,13,2186,2,-14,-4,55,-31,-15,4,2778,2785.424
257,28,144,9,-9,0,24,8,-19,1,2706,2735.617
176,37,1724,20,-9,2,70,-22,-33,9,1271,1275.398
229,1,853,2,-11,0,51,6,-17,3,1898,1957.204
291,51,900,11,-13,1,99,-16,-11,2,3433,3331.231
193,51,888,4,-17,3,118,-15,-12,3,1966,1638.178
130,12,802,46,-33,-3,-26,-49,-28,9,1715,1529.946
324,1,2424,72,-13,-1,-3,-9,-21,6,3419,3481.395
186,28,226,4,-30,-2,53,-15,-30,5,1111,1106.744
307,21,1028,3,-12,-4,2,-11,-27,8,1492,1532.696
221,1,1869,20,-12,3,68,12,-10,2,1751,1595.294
143,1,294,9,-11,4,40,-3,-32,11,543,531.685
199,13,4233,28,-13,-3,69,-31,-38,10,3132,3172.201
166,51,380,6,-17,-2,109,-23,-15,4,1552,1512.716
154,51,666,21,-18,0,76,-35,-40,14,1428,1478.371
201,45,2374,20,-10,3,57,8,-17,4,1155,1422.484
195,45,1520,11,-6,3,55,-4,-30,8,972,952.412
254,21,795,22,-11,2,94,-8,-31,5,1035,1016.732
200,47,2517,23,-11,6,131,1,-10,2,838,1550.571
85,28,108,3,-24,-5,26,-13,-34,13,5,10.063
259,37,1210,51,-10,0,79,-24,-30,7,3111,3054.611
144,28,247,10,-9,8,45,-2,-16,4,625,566.504
146,45,82,5,-13,0,68,-18,-65,18,440,478.496
317,51,1235,27,-24,-13,-17,-40,-37,15,3785,6310.9
259,21,718,9,-7,4,101,-3,-27,5,1074,1072.798
152,51,791,17,-23,-4,96,-30,-17,5,1392,1440.203
61,13,0,0,13,7,49,8,2,-2,0,0.032
82,1,26,0,-40,-7,2,-22,-27,9,0,3.084
328,37,2419,5,-9,5,21,-31,-29,7,5039,4654.861
293,37,1144,5,-11,-1,58,-21,-29,6,3939,3832.224
228,47,1289,19,-10,3,97,-3,-11,2,1345,1361.576
