days,fips,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases,%error,%accuracy,predicted rounded,rounded %error,rounded %accuracy
89,12,891,4,-50,-26,-48,-63,-41,13,60,72.798,21.33,78.67,73,21.66666667,78.33333333
144,13,979,6,-18,2,62,-31,-18,5,1814,1667.454,8.078610805,91.9213892,1667,8.103638368,91.89636163
78,45,13,0,-19,11,10,-4,-21,9,1,0.287,71.3,28.7,0,100,0
325,51,2348,26,-18,-5,27,-31,-33,11,3938,3961.86,0.605891315,99.39410868,3962,0.60944642,99.39055358
208,1,1164,17,-13,-1,51,5,-18,4,1473,1481.698,0.590495587,99.40950441,1482,0.610997963,99.38900204
270,37,1759,31,-13,-1,73,-20,-10,2,3440,3335.791,3.029331395,96.9706686,3336,3.023255814,96.97674419
258,28,505,28,-3,7,26,7,-21,2,2734,2762.159,1.029956108,98.97004389,2762,1.024140454,98.97585955
131,28,173,5,-11,14,39,-14,-23,3,435,354.493,18.50735632,81.49264368,354,18.62068966,81.37931034
225,12,8059,212,-22,-15,-19,-42,-36,11,8765,8501.037,3.01155733,96.98844267,8501,3.011979464,96.98802054
321,1,1410,1,-12,-3,2,-9,-21,5,3249,3257.715,0.26823638,99.73176362,3258,0.27700831,99.72299169
280,12,2202,55,-22,-12,-30,-39,-30,8,14767,13741.519,6.944409833,93.05559017,13742,6.94115257,93.05884743
214,12,9591,179,-28,-11,-30,-46,-22,7,7022,6981.319,0.579336371,99.42066363,6981,0.583879237,99.41612076
330,13,3177,76,4,30,4,-20,-41,8,9297,8208.548,11.70756158,88.29243842,8209,11.7026998,88.2973002
288,1,784,41,-8,-2,22,-5,-23,5,2706,2673.916,1.185661493,98.81433851,2674,1.18255728,98.81744272
120,12,332,47,-38,-18,-36,-51,-45,18,1218,1018.787,16.35574713,83.64425287,1019,16.33825944,83.66174056
156,21,295,8,-9,8,48,-13,-33,10,458,515.2,12.48908297,87.51091703,515,12.44541485,87.55458515
192,13,4623,35,-13,-4,68,-31,-37,10,2965,3200.332,7.936998314,92.06300169,3200,7.925801012,92.07419899
205,28,1610,27,-5,0,27,2,-28,8,1463,1369.703,6.377101846,93.62289815,1370,6.356801094,93.64319891
199,12,11362,128,-25,-13,-20,-43,-37,13,4805,4761.226,0.911009365,99.08899063,4761,0.915712799,99.0842872
152,47,439,0,-6,7,105,-13,-14,2,366,405.486,10.78852459,89.21147541,405,10.6557377,89.3442623
282,13,1827,35,-13,-6,22,-29,-30,8,7294,7256.27,0.517274472,99.48272553,7256,0.520976145,99.47902386
295,28,958,8,-8,-5,21,7,-18,4,3231,3231.626,0.019374807,99.98062519,3232,0.03095017,99.96904983
83,45,103,2,-34,-7,-21,-25,-30,13,5,7.368,47.36,52.64,7,40,60
236,51,1558,28,-15,-4,96,-23,-15,3,2471,2429.863,1.664791582,98.33520842,2430,1.659247268,98.34075273
172,37,1549,15,-13,8,95,-16,-10,2,1212,1170.87,3.393564356,96.60643564,1171,3.382838284,96.61716172
240,47,1826,25,-9,-3,56,-13,-28,6,1673,1743.407,4.208427974,95.79157203,1743,4.184100418,95.81589958
106,51,389,13,-33,-12,1,-49,-50,21,208,170.48,18.03846154,81.96153846,170,18.26923077,81.73076923
220,47,2432,20,-8,-1,98,-10,-31,7,1206,1506.242,24.89568823,75.10431177,1506,24.87562189,75.12437811
184,12,10015,67,-16,-4,-10,-34,-37,11,3617,4027.201,11.34091789,88.65908211,4027,11.3353608,88.6646392
122,51,0,0,-30,-8,13,-45,-47,20,581,482.266,16.99380379,83.00619621,482,17.03958692,82.96041308
89,45,114,1,-38,-11,-4,-34,-34,9,16,6.471,59.55625,40.44375,6,62.5,37.5
206,37,2145,20,-12,-1,69,-23,-34,9,1746,1767.005,1.20303551,98.79696449,1767,1.202749141,98.79725086
180,13,2186,2,-14,-4,55,-31,-15,4,2778,2785.424,0.267242621,99.73275738,2785,0.251979842,99.74802016
257,28,144,9,-9,0,24,8,-19,1,2706,2735.617,1.094493718,98.90550628,2736,1.10864745,98.89135255
176,37,1724,20,-9,2,70,-22,-33,9,1271,1275.398,0.346026751,99.65397325,1275,0.314712825,99.68528718
229,1,853,2,-11,0,51,6,-17,3,1898,1957.204,3.119283456,96.88071654,1957,3.1085353,96.8914647
291,51,900,11,-13,1,99,-16,-11,2,3433,3331.231,2.96443344,97.03556656,3331,2.971162249,97.02883775
193,51,888,4,-17,3,118,-15,-12,3,1966,1638.178,16.67456765,83.32543235,1638,16.68362157,83.31637843
130,12,802,46,-33,-3,-26,-49,-28,9,1715,1529.946,10.7903207,89.2096793,1530,10.78717201,89.21282799
324,1,2424,72,-13,-1,-3,-9,-21,6,3419,3481.395,1.824948815,98.17505118,3481,1.81339573,98.18660427
186,28,226,4,-30,-2,53,-15,-30,5,1111,1106.744,0.383078308,99.61692169,1107,0.360036004,99.639964
307,21,1028,3,-12,-4,2,-11,-27,8,1492,1532.696,2.727613941,97.27238606,1533,2.747989276,97.25201072
221,1,1869,20,-12,3,68,12,-10,2,1751,1595.294,8.89240434,91.10759566,1595,8.909194746,91.09080525
143,1,294,9,-11,4,40,-3,-32,11,543,531.685,2.083793738,97.91620626,532,2.025782689,97.97421731
199,13,4233,28,-13,-3,69,-31,-38,10,3132,3172.201,1.283556833,98.71644317,3172,1.277139208,98.72286079
166,51,380,6,-17,-2,109,-23,-15,4,1552,1512.716,2.531185567,97.46881443,1513,2.512886598,97.4871134
154,51,666,21,-18,0,76,-35,-40,14,1428,1478.371,3.527380952,96.47261905,1478,3.50140056,96.49859944
201,45,2374,20,-10,3,57,8,-17,4,1155,1422.484,23.15878788,76.84121212,1422,23.11688312,76.88311688
195,45,1520,11,-6,3,55,-4,-30,8,972,952.412,2.015226337,97.98477366,952,2.057613169,97.94238683
254,21,795,22,-11,2,94,-8,-31,5,1035,1016.732,1.765024155,98.23497585,1017,1.739130435,98.26086957
200,47,2517,23,-11,6,131,1,-10,2,838,1550.571,85.0323389,14.9676611,1551,85.08353222,14.91646778
85,28,108,3,-24,-5,26,-13,-34,13,5,10.063,101.26,-1.26,10,100,0
259,37,1210,51,-10,0,79,-24,-30,7,3111,3054.611,1.812568306,98.18743169,3055,1.800064288,98.19993571
144,28,247,10,-9,8,45,-2,-16,4,625,566.504,9.35936,90.64064,567,9.28,90.72
146,45,82,5,-13,0,68,-18,-65,18,440,478.496,8.749090909,91.25090909,478,8.636363636,91.36363636
317,51,1235,27,-24,-13,-17,-40,-37,15,3785,6310.9,66.7344782,33.2655218,6311,66.73712021,33.26287979
259,21,718,9,-7,4,101,-3,-27,5,1074,1072.798,0.111918063,99.88808194,1073,0.09310987,99.90689013
