days,fips,tot_cases,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual cases,predicted cases
89,12,4768,891,4,-50,-26,-48,-63,-41,13,60,85.754
67,21,1,1,0,15,16,85,15,4,-2,0,0.0
144,13,40366,979,6,-18,2,62,-31,-18,5,1814,1714.718
78,45,60,13,0,-19,11,10,-4,-21,9,1,0.289
325,51,215680,2348,26,-18,-5,27,-31,-33,11,3938,3935.374
208,1,79294,1164,17,-13,-1,51,5,-18,4,1473,1526.759
270,37,206090,1759,31,-13,-1,73,-20,-10,2,3440,3363.123
258,28,90523,505,28,-3,7,26,7,-21,2,2734,2753.088
131,28,9674,173,5,-11,14,39,-14,-23,3,435,418.494
225,12,545040,8059,212,-22,-15,-19,-42,-36,11,8765,8586.063
321,1,219232,1410,1,-12,-3,2,-9,-21,5,3249,3274.431
280,12,711358,2202,55,-22,-12,-30,-39,-30,8,14767,14766.215
214,12,474621,9591,179,-28,-11,-30,-46,-22,7,7022,6767.564
330,13,457909,3177,76,4,30,4,-20,-41,8,9297,9216.602
288,1,167977,784,41,-8,-2,22,-5,-23,5,2706,2691.795
120,12,32318,332,47,-38,-18,-36,-51,-45,18,1218,1162.453
77,28,34,22,0,-3,21,34,2,-18,6,0,0.175
156,21,10705,295,8,-9,8,48,-13,-33,10,458,460.573
192,13,111956,4623,35,-13,-4,68,-31,-37,10,2965,2993.368
205,28,49663,1610,27,-5,0,27,2,-28,8,1463,1422.405
199,12,323002,11362,128,-25,-13,-20,-43,-37,13,4805,4838.265
152,47,23159,439,0,-6,7,105,-13,-14,2,366,373.869
282,13,348022,1827,35,-13,-6,22,-29,-30,8,7294,7247.301
295,28,113081,958,8,-8,-5,21,7,-18,4,3231,3222.141
83,45,298,103,2,-34,-7,-21,-25,-30,13,5,6.468
236,51,113630,1558,28,-15,-4,96,-23,-15,3,2471,2250.906
172,37,51399,1549,15,-13,8,95,-16,-10,2,1212,1205.9
240,47,149179,1826,25,-9,-3,56,-13,-28,6,1673,1792.041
106,51,6889,389,13,-33,-12,1,-49,-50,21,208,198.934
220,47,118782,2432,20,-8,-1,98,-10,-31,7,1206,1271.209
72,51,29,14,0,7,20,44,-3,-3,0,0,0.284
184,12,166303,10015,67,-16,-4,-10,-34,-37,11,3617,3466.016
122,51,16901,0,0,-30,-8,13,-45,-47,20,581,532.335
89,45,774,114,1,-38,-11,-4,-34,-34,9,16,5.826
206,37,109577,2145,20,-12,-1,69,-23,-34,9,1746,1789.148
180,13,77596,2186,2,-14,-4,55,-31,-15,4,2778,2794.446
257,28,90018,144,9,-9,0,24,8,-19,1,2706,2726.93
176,37,56194,1724,20,-9,2,70,-22,-33,9,1271,1236.314
229,1,108433,853,2,-11,0,51,6,-17,3,1898,2074.601
291,51,166138,900,11,-13,1,99,-16,-11,2,3433,3421.662
193,51,70670,888,4,-17,3,118,-15,-12,3,1966,1775.851
130,12,40001,802,46,-33,-3,-26,-49,-28,9,1715,1689.345
324,1,225910,2424,72,-13,-1,-3,-9,-21,6,3419,3358.768
186,28,30900,226,4,-30,-2,53,-15,-30,5,1111,1025.009
307,21,109670,1028,3,-12,-4,2,-11,-27,8,1492,1798.242
221,1,100353,1869,20,-12,3,68,12,-10,2,1751,1757.988
143,1,13941,294,9,-11,4,40,-3,-32,11,543,557.559
199,13,137102,4233,28,-13,-3,69,-31,-38,10,3132,2990.931
166,51,54886,380,6,-17,-2,109,-23,-15,4,1552,1469.546
154,51,46905,666,21,-18,0,76,-35,-40,14,1428,1472.284
201,45,69986,2374,20,-10,3,57,8,-17,4,1155,1245.172
195,45,58168,1520,11,-6,3,55,-4,-30,8,972,1030.478
254,21,54772,795,22,-11,2,94,-8,-31,5,1035,1024.87
200,47,76336,2517,23,-11,6,131,1,-10,2,838,968.197
85,28,485,108,3,-24,-5,26,-13,-34,13,5,9.625
259,37,190645,1210,51,-10,0,79,-24,-30,7,3111,3111.411
144,28,13252,247,10,-9,8,45,-2,-16,4,625,580.132
146,45,10178,82,5,-13,0,68,-18,-65,18,440,430.924
317,51,199263,1235,27,-24,-13,-17,-40,-37,15,3785,3766.891
259,21,58000,718,9,-7,4,101,-3,-27,5,1074,1077.8
152,51,45398,791,17,-23,-4,96,-30,-17,5,1392,1360.699
61,13,2,0,0,13,7,49,8,2,-2,0,0.002
82,1,157,26,0,-40,-7,2,-22,-27,9,0,2.505
328,37,339194,2419,5,-9,5,21,-31,-29,7,5039,4971.55
293,37,247172,1144,5,-11,-1,58,-21,-29,6,3939,3921.838
228,47,131747,1289,19,-10,3,97,-3,-11,2,1345,1456.228
320,28,134898,589,2,-11,-7,4,2,-18,3,3545,3495.636
70,47,7,6,0,8,8,26,3,-1,1,0,0.0
228,51,106691,938,1,-22,-7,31,-22,-17,6,2382,2445.383
244,47,154933,1818,7,-8,-5,34,-16,-28,7,1754,1919.81
280,21,74194,1036,4,-10,1,69,-3,-29,5,1218,1263.933
93,21,770,90,11,-33,-3,42,-30,-46,17,31,28.096
147,47,21089,358,5,-7,4,54,-17,-32,10,344,368.487
130,1,9923,284,8,-15,20,39,-3,-18,5,394,417.198
140,21,8069,134,20,-20,4,30,-19,-37,13,366,360.783
222,12,527036,6190,77,-25,-16,-18,-43,-22,6,8186,8309.025
181,45,34644,1324,4,-1,4,61,1,-29,8,720,777.336
168,28,20641,489,24,6,10,57,3,-25,6,939,899.253
135,51,28672,859,22,-29,-6,40,-42,-46,18,977,936.209
319,13,422905,3035,51,-12,-6,41,-25,-9,3,8956,8957.039
69,21,1,0,0,8,11,39,2,1,0,0,0.0
222,47,122712,2127,8,-7,3,94,-6,-16,2,1223,1293.1
106,1,4241,288,2,-19,-2,10,-24,-40,15,75,99.461
126,1,8679,367,23,-12,9,16,-14,-33,12,323,338.657
313,28,127205,516,0,-10,-7,10,6,-16,2,3443,3416.03
257,21,56945,530,3,-14,-1,85,1,-13,1,1060,1080.265
205,45,76606,1564,49,-6,1,43,-2,-31,9,1334,1384.18
163,21,11945,62,9,-4,11,113,-7,-32,8,493,497.691
246,12,626426,2310,127,-23,-16,-21,-41,-34,9,11501,11413.275
195,13,121518,3790,25,-10,-1,48,-34,-38,10,3026,2992.393
97,47,3803,170,21,-35,-9,3,-35,-43,16,65,66.878
161,45,15228,428,11,0,7,59,5,-28,8,568,592.238
84,37,398,101,0,-31,-4,-8,-38,-34,15,0,5.027
314,47,287770,5919,15,-10,-5,33,-14,-23,7,3610,3667.94
205,1,74344,2458,36,-8,2,31,1,-30,9,1399,1534.183
301,51,176754,1345,16,-15,-4,50,-32,-34,10,3616,3585.502
265,45,138124,416,13,-7,-3,44,-6,-25,5,3212,3073.166
280,51,153691,509,12,-13,-2,67,-34,-35,9,3303,3293.362
77,21,26,4,0,-19,17,33,-6,-19,8,0,0.11
92,45,1293,210,4,-30,-3,-26,-26,-40,15,26,23.419
334,28,153270,1485,1,-23,-20,-34,14,-24,7,3807,3703.198
76,12,142,6,1,-6,14,0,-16,-18,6,5,2.655
206,45,78607,2001,51,-11,-2,37,-1,-31,9,1385,1553.011
219,45,96797,1325,49,-8,-2,34,-4,-31,9,1943,1936.632
169,28,20641,0,-1,8,9,55,8,-26,6,938,925.625
105,45,3553,114,10,-29,-6,-11,-27,-41,15,97,105.168
305,1,192285,1789,35,-11,6,47,-6,-9,-1,2967,2986.5
133,12,41923,941,44,-30,-12,-24,-45,-39,15,1779,1812.738
329,12,938830,8102,72,-11,1,-21,-28,-34,8,18157,18043.628
304,21,105242,1937,15,-9,3,45,-6,-26,6,1476,1580.356
108,28,3793,0,0,-27,-9,-6,-29,-39,16,140,126.098
72,13,88,33,1,8,24,23,-2,-1,0,1,2.018
228,21,38930,632,6,-10,8,183,4,-11,1,810,811.1
332,37,354514,8008,72,-23,-15,51,-40,-60,16,5210,5060.713
289,21,84195,1182,20,-12,1,41,-3,-27,7,1296,1445.548
296,45,167485,1128,47,-8,-4,29,-3,-23,6,3755,3706.793
251,45,125607,655,20,-8,-2,90,-8,-66,15,2907,2660.478
273,13,333811,1368,33,-16,-7,-21,-35,-31,10,6994,6959.705
240,45,114598,505,55,-9,-3,31,-5,-28,7,2628,2553.806
316,13,413415,2232,-397,-12,-8,-15,-33,-34,11,8333,8791.581
214,47,108184,2225,7,-6,7,108,1,-10,2,1067,1139.064
297,1,180916,3852,16,-11,-6,20,-8,-22,5,2859,2859.288
185,47,48712,1822,13,1,19,157,-11,-55,11,633,660.171
116,28,5718,284,12,-26,-2,3,-25,-25,9,221,208.155
126,51,20256,764,29,-28,-6,5,-45,-47,19,713,725.501
93,13,5443,637,22,-29,11,-15,-46,-47,19,176,102.146
268,47,187544,835,35,-12,-6,14,-16,-25,8,2310,2597.33
142,1,13647,347,10,-5,9,40,-4,-30,10,534,561.62
270,47,190891,1437,22,-9,1,111,-8,-6,0,2374,2502.68
156,45,13005,354,7,-2,7,38,2,-28,9,525,550.893
206,28,51097,1434,17,-12,-7,18,-1,-30,9,1480,1443.224
133,37,15346,301,27,-20,1,42,-31,-38,14,577,575.945
114,12,28843,1052,60,-43,-21,-47,-55,-47,20,987,939.636
87,1,639,108,2,-30,-2,30,-24,-37,16,3,9.569
320,47,310937,5817,16,-10,-2,16,-14,-15,3,3893,3898.601
246,13,285667,2386,62,-11,-6,35,-31,-34,8,5795,5709.897
114,1,6071,240,11,-35,-13,-31,-33,-42,20,198,202.715
148,37,24629,488,28,-20,-6,-2,-32,-35,14,794,873.716
86,21,248,50,0,-33,-6,84,-27,-41,15,5,3.143
128,45,7142,206,11,-15,4,10,-15,-35,13,316,308.478
286,12,726934,1519,48,-22,-15,-24,-36,-33,8,15412,15312.661
289,12,735685,3286,141,-22,-13,-21,-34,-29,8,15736,15689.58
192,37,81534,2007,18,-12,0,85,-21,-34,9,1479,1497.078
283,13,350033,2011,54,-14,-8,27,-27,-31,8,7348,7371.508
208,21,27079,315,4,-11,2,136,2,-15,2,700,725.187
74,28,6,5,0,3,21,41,10,0,-1,0,0.0
170,21,13197,202,2,-6,9,93,-8,-32,8,520,529.228
174,37,53616,805,3,-10,1,79,-23,-35,9,1223,1230.098
102,12,18445,997,27,-49,-20,-54,-65,-40,15,446,565.278
236,12,594287,3004,51,-25,-16,-28,-44,-22,6,10325,10321.665
230,28,73207,1071,44,-7,-3,17,0,-27,5,2128,2067.837
107,21,2429,138,7,-28,-4,29,-31,-45,17,129,120.948
132,45,7792,139,15,-13,1,24,-14,-33,11,346,329.535
69,45,7,1,0,9,8,53,7,2,-1,0,0.0
245,21,49185,789,15,-6,6,77,-6,-29,6,948,963.234
190,12,220476,9882,112,-22,-12,-14,-39,-36,12,3953,4104.885
236,13,262099,1812,40,-17,-7,33,-32,-19,4,5132,4943.405
95,51,2407,395,6,-45,-14,4,-51,-34,14,52,38.529
96,1,1841,208,5,-50,-18,-1,-40,-36,12,31,45.418
194,21,19389,268,3,-10,3,122,1,-14,2,625,658.949
95,1,1633,98,5,-41,8,4,-33,-26,11,26,36.972
293,51,167754,926,28,-14,-5,41,-32,-33,10,3485,3486.327
205,37,107432,1945,28,-13,-2,44,-25,-35,11,1726,1979.496
85,21,198,35,1,-33,-5,69,-23,-40,15,5,3.893
265,1,145780,818,2,-9,-4,28,-5,-26,5,2439,2467.975
263,45,137240,922,11,-8,1,67,-2,-11,1,3188,2976.385
