days,fips,tot_cases,new_case,new_death,retail_and_recreation_%change,grocery_and_pharmacy_%change,parks_%change,transit_stations_%change,workplaces_%change,residential_%change,actual deaths,predicted deaths,% error,%accuracy,predicted rounded,predicted %error,predicted %accuracy
89,12,4768,891,4,-50,-26,-48,-63,-41,13,60,85.754,42.92333333,57.07666667,86,43.33333333,56.66666667
144,13,40366,979,6,-18,2,62,-31,-18,5,1814,1714.718,5.473098126,94.52690187,1715,5.45755237,94.54244763
78,45,60,13,0,-19,11,10,-4,-21,9,1,0.289,71.1,28.9,0,100,0
325,51,215680,2348,26,-18,-5,27,-31,-33,11,3938,3935.374,0.066683596,99.9333164,3935,0.076180802,99.9238192
208,1,79294,1164,17,-13,-1,51,5,-18,4,1473,1526.759,3.649626612,96.35037339,1527,3.66598778,96.33401222
270,37,206090,1759,31,-13,-1,73,-20,-10,2,3440,3363.123,2.234796512,97.76520349,3363,2.238372093,97.76162791
258,28,90523,505,28,-3,7,26,7,-21,2,2734,2753.088,0.698171178,99.30182882,2753,0.694952451,99.30504755
131,28,9674,173,5,-11,14,39,-14,-23,3,435,418.494,3.794482759,96.20551724,418,3.908045977,96.09195402
225,12,545040,8059,212,-22,-15,-19,-42,-36,11,8765,8586.063,2.041494581,97.95850542,8586,2.042213349,97.95778665
321,1,219232,1410,1,-12,-3,2,-9,-21,5,3249,3274.431,0.782733149,99.21726685,3274,0.769467528,99.23053247
280,12,711358,2202,55,-22,-12,-30,-39,-30,8,14767,14766.215,0.005315907,99.99468409,14766,0.006771856,99.99322814
214,12,474621,9591,179,-28,-11,-30,-46,-22,7,7022,6767.564,3.623412133,96.37658787,6768,3.617203076,96.38279692
330,13,457909,3177,76,4,30,4,-20,-41,8,9297,9216.602,0.864773583,99.13522642,9217,0.860492632,99.13950737
288,1,167977,784,41,-8,-2,22,-5,-23,5,2706,2691.795,0.524944568,99.47505543,2692,0.51736881,99.48263119
120,12,32318,332,47,-38,-18,-36,-51,-45,18,1218,1162.453,4.560509031,95.43949097,1162,4.597701149,95.40229885
156,21,10705,295,8,-9,8,48,-13,-33,10,458,460.573,0.561790393,99.43820961,461,0.655021834,99.34497817
192,13,111956,4623,35,-13,-4,68,-31,-37,10,2965,2993.368,0.956762226,99.04323777,2993,0.944350759,99.05564924
205,28,49663,1610,27,-5,0,27,2,-28,8,1463,1422.405,2.774777854,97.22522215,1422,2.802460697,97.1975393
199,12,323002,11362,128,-25,-13,-20,-43,-37,13,4805,4838.265,0.692299688,99.30770031,4838,0.686784599,99.3132154
152,47,23159,439,0,-6,7,105,-13,-14,2,366,373.869,2.15,97.85,374,2.18579235,97.81420765
282,13,348022,1827,35,-13,-6,22,-29,-30,8,7294,7247.301,0.640238552,99.35976145,7247,0.644365232,99.35563477
295,28,113081,958,8,-8,-5,21,7,-18,4,3231,3222.141,0.274187558,99.72581244,3222,0.278551532,99.72144847
83,45,298,103,2,-34,-7,-21,-25,-30,13,5,6.468,29.36,70.64,6,20,80
236,51,113630,1558,28,-15,-4,96,-23,-15,3,2471,2250.906,8.907082153,91.09291785,2251,8.903278025,91.09672197
172,37,51399,1549,15,-13,8,95,-16,-10,2,1212,1205.9,0.50330033,99.49669967,1206,0.495049505,99.5049505
240,47,149179,1826,25,-9,-3,56,-13,-28,6,1673,1792.041,7.115421399,92.8845786,1792,7.112970711,92.88702929
106,51,6889,389,13,-33,-12,1,-49,-50,21,208,198.934,4.358653846,95.64134615,199,4.326923077,95.67307692
220,47,118782,2432,20,-8,-1,98,-10,-31,7,1206,1271.209,5.407048093,94.59295191,1271,5.389718076,94.61028192
184,12,166303,10015,67,-16,-4,-10,-34,-37,11,3617,3466.016,4.174288084,95.82571192,3466,4.17473044,95.82526956
122,51,16901,0,0,-30,-8,13,-45,-47,20,581,532.335,8.376075731,91.62392427,532,8.43373494,91.56626506
89,45,774,114,1,-38,-11,-4,-34,-34,9,16,5.826,63.5875,36.4125,6,62.5,37.5
206,37,109577,2145,20,-12,-1,69,-23,-34,9,1746,1789.148,2.471248568,97.52875143,1789,2.46277205,97.53722795
180,13,77596,2186,2,-14,-4,55,-31,-15,4,2778,2794.446,0.592008639,99.40799136,2794,0.575953924,99.42404608
257,28,90018,144,9,-9,0,24,8,-19,1,2706,2726.93,0.773466371,99.22653363,2727,0.776053215,99.22394678
176,37,56194,1724,20,-9,2,70,-22,-33,9,1271,1236.314,2.729032258,97.27096774,1236,2.753737215,97.24626279
229,1,108433,853,2,-11,0,51,6,-17,3,1898,2074.601,9.304583772,90.69541623,2075,9.325605901,90.6743941
291,51,166138,900,11,-13,1,99,-16,-11,2,3433,3421.662,0.330265074,99.66973493,3422,0.320419458,99.67958054
193,51,70670,888,4,-17,3,118,-15,-12,3,1966,1775.851,9.671871821,90.32812818,1776,9.664292981,90.33570702
130,12,40001,802,46,-33,-3,-26,-49,-28,9,1715,1689.345,1.495918367,98.50408163,1689,1.516034985,98.48396501
324,1,225910,2424,72,-13,-1,-3,-9,-21,6,3419,3358.768,1.761684703,98.2383153,3359,1.754899093,98.24510091
186,28,30900,226,4,-30,-2,53,-15,-30,5,1111,1025.009,7.739963996,92.260036,1025,7.740774077,92.25922592
307,21,109670,1028,3,-12,-4,2,-11,-27,8,1492,1798.242,20.52560322,79.47439678,1798,20.50938338,79.49061662
221,1,100353,1869,20,-12,3,68,12,-10,2,1751,1757.988,0.399086236,99.60091376,1758,0.399771559,99.60022844
143,1,13941,294,9,-11,4,40,-3,-32,11,543,557.559,2.68121547,97.31878453,558,2.762430939,97.23756906
199,13,137102,4233,28,-13,-3,69,-31,-38,10,3132,2990.931,4.504118774,95.49588123,2991,4.501915709,95.49808429
166,51,54886,380,6,-17,-2,109,-23,-15,4,1552,1469.546,5.312757732,94.68724227,1470,5.283505155,94.71649485
154,51,46905,666,21,-18,0,76,-35,-40,14,1428,1472.284,3.101120448,96.89887955,1472,3.081232493,96.91876751
201,45,69986,2374,20,-10,3,57,8,-17,4,1155,1245.172,7.807099567,92.19290043,1245,7.792207792,92.20779221
195,45,58168,1520,11,-6,3,55,-4,-30,8,972,1030.478,6.016255144,93.98374486,1030,5.967078189,94.03292181
254,21,54772,795,22,-11,2,94,-8,-31,5,1035,1024.87,0.978743961,99.02125604,1025,0.966183575,99.03381643
200,47,76336,2517,23,-11,6,131,1,-10,2,838,968.197,15.53663484,84.46336516,968,15.51312649,84.48687351
85,28,485,108,3,-24,-5,26,-13,-34,13,5,9.625,92.5,7.5,10,100,0
259,37,190645,1210,51,-10,0,79,-24,-30,7,3111,3111.411,0.013211186,99.98678881,3111,0,100
144,28,13252,247,10,-9,8,45,-2,-16,4,625,580.132,7.17888,92.82112,580,7.2,92.8
146,45,10178,82,5,-13,0,68,-18,-65,18,440,430.924,2.062727273,97.93727273,431,2.045454545,97.95454545
317,51,199263,1235,27,-24,-13,-17,-40,-37,15,3785,3766.891,0.478441215,99.52155878,3767,0.475561427,99.52443857
259,21,58000,718,9,-7,4,101,-3,-27,5,1074,1077.8,0.353817505,99.6461825,1078,0.372439479,99.62756052
152,51,45398,791,17,-23,-4,96,-30,-17,5,1392,1360.699,2.248635057,97.75136494,1361,2.227011494,97.77298851
328,37,339194,2419,5,-9,5,21,-31,-29,7,5039,4971.55,1.338559238,98.66144076,4972,1.329628895,98.67037111
293,37,247172,1144,5,-11,-1,58,-21,-29,6,3939,3921.838,0.435694339,99.56430566,3922,0.43158162,99.56841838
228,47,131747,1289,19,-10,3,97,-3,-11,2,1345,1456.228,8.269739777,91.73026022,1456,8.252788104,91.7472119
320,28,134898,589,2,-11,-7,4,2,-18,3,3545,3495.636,1.392496474,98.60750353,3496,1.382228491,98.61777151
228,51,106691,938,1,-22,-7,31,-22,-17,6,2382,2445.383,2.660915197,97.3390848,2445,2.644836272,97.35516373
244,47,154933,1818,7,-8,-5,34,-16,-28,7,1754,1919.81,9.453249715,90.54675029,1920,9.464082098,90.5359179
280,21,74194,1036,4,-10,1,69,-3,-29,5,1218,1263.933,3.771182266,96.22881773,1264,3.776683087,96.22331691
93,21,770,90,11,-33,-3,42,-30,-46,17,31,28.096,9.367741935,90.63225806,28,9.677419355,90.32258065
147,47,21089,358,5,-7,4,54,-17,-32,10,344,368.487,7.118313953,92.88168605,368,6.976744186,93.02325581
130,1,9923,284,8,-15,20,39,-3,-18,5,394,417.198,5.887817259,94.11218274,417,5.837563452,94.16243655
140,21,8069,134,20,-20,4,30,-19,-37,13,366,360.783,1.425409836,98.57459016,361,1.366120219,98.63387978
222,12,527036,6190,77,-25,-16,-18,-43,-22,6,8186,8309.025,1.502870755,98.49712925,8309,1.502565355,98.49743464
181,45,34644,1324,4,-1,4,61,1,-29,8,720,777.336,7.963333333,92.03666667,777,7.916666667,92.08333333
168,28,20641,489,24,6,10,57,3,-25,6,939,899.253,4.232907348,95.76709265,899,4.259850905,95.74014909
135,51,28672,859,22,-29,-6,40,-42,-46,18,977,936.209,4.175127943,95.82487206,936,4.196519959,95.80348004
319,13,422905,3035,51,-12,-6,41,-25,-9,3,8956,8957.039,0.011601161,99.98839884,8957,0.011165699,99.9888343
222,47,122712,2127,8,-7,3,94,-6,-16,2,1223,1293.1,5.731807032,94.26819297,1293,5.723630417,94.27636958
106,1,4241,288,2,-19,-2,10,-24,-40,15,75,99.461,32.61466667,67.38533333,99,32,68
126,1,8679,367,23,-12,9,16,-14,-33,12,323,338.657,4.847368421,95.15263158,339,4.953560372,95.04643963
313,28,127205,516,0,-10,-7,10,6,-16,2,3443,3416.03,0.783328493,99.21667151,3416,0.784199826,99.21580017
257,21,56945,530,3,-14,-1,85,1,-13,1,1060,1080.265,1.911792453,98.08820755,1080,1.886792453,98.11320755
205,45,76606,1564,49,-6,1,43,-2,-31,9,1334,1384.18,3.76161919,96.23838081,1384,3.748125937,96.25187406
163,21,11945,62,9,-4,11,113,-7,-32,8,493,497.691,0.951521298,99.0484787,498,1.014198783,98.98580122
246,12,626426,2310,127,-23,-16,-21,-41,-34,9,11501,11413.275,0.76275976,99.23724024,11413,0.765150856,99.23484914
195,13,121518,3790,25,-10,-1,48,-34,-38,10,3026,2992.393,1.110608063,98.88939194,2992,1.123595506,98.87640449
97,47,3803,170,21,-35,-9,3,-35,-43,16,65,66.878,2.889230769,97.11076923,67,3.076923077,96.92307692
161,45,15228,428,11,0,7,59,5,-28,8,568,592.238,4.267253521,95.73274648,592,4.225352113,95.77464789
314,47,287770,5919,15,-10,-5,33,-14,-23,7,3610,3667.94,1.60498615,98.39501385,3668,1.606648199,98.3933518
205,1,74344,2458,36,-8,2,31,1,-30,9,1399,1534.183,9.662830593,90.33716941,1534,9.649749821,90.35025018
301,51,176754,1345,16,-15,-4,50,-32,-34,10,3616,3585.502,0.843418142,99.15658186,3586,0.829646018,99.17035398
265,45,138124,416,13,-7,-3,44,-6,-25,5,3212,3073.166,4.322353674,95.67764633,3073,4.327521793,95.67247821
280,51,153691,509,12,-13,-2,67,-34,-35,9,3303,3293.362,0.291795338,99.70820466,3293,0.302755071,99.69724493
92,45,1293,210,4,-30,-3,-26,-26,-40,15,26,23.419,9.926923077,90.07307692,23,11.53846154,88.46153846
334,28,153270,1485,1,-23,-20,-34,14,-24,7,3807,3703.198,2.726608878,97.27339112,3703,2.731809824,97.26819018
76,12,142,6,1,-6,14,0,-16,-18,6,5,2.655,46.9,53.1,3,40,60
206,45,78607,2001,51,-11,-2,37,-1,-31,9,1385,1553.011,12.13075812,87.86924188,1553,12.1299639,87.8700361
219,45,96797,1325,49,-8,-2,34,-4,-31,9,1943,1936.632,0.327740607,99.67225939,1937,0.308800823,99.69119918
169,28,20641,0,-1,8,9,55,8,-26,6,938,925.625,1.319296375,98.68070362,926,1.279317697,98.7206823
105,45,3553,114,10,-29,-6,-11,-27,-41,15,97,105.168,8.420618557,91.57938144,105,8.24742268,91.75257732
305,1,192285,1789,35,-11,6,47,-6,-9,-1,2967,2986.5,0.657229525,99.34277048,2987,0.674081564,99.32591844
133,12,41923,941,44,-30,-12,-24,-45,-39,15,1779,1812.738,1.896458685,98.10354132,1813,1.91118606,98.08881394
329,12,938830,8102,72,-11,1,-21,-28,-34,8,18157,18043.628,0.624398304,99.3756017,18044,0.622349507,99.37765049
304,21,105242,1937,15,-9,3,45,-6,-26,6,1476,1580.356,7.070189702,92.9298103,1580,7.046070461,92.95392954
108,28,3793,0,0,-27,-9,-6,-29,-39,16,140,126.098,9.93,90.07,126,10,90
72,13,88,33,1,8,24,23,-2,-1,0,1,2.018,101.8,-1.8,2,100,0
228,21,38930,632,6,-10,8,183,4,-11,1,810,811.1,0.135802469,99.86419753,811,0.12345679,99.87654321
332,37,354514,8008,72,-23,-15,51,-40,-60,16,5210,5060.713,2.865393474,97.13460653,5061,2.859884837,97.14011516
289,21,84195,1182,20,-12,1,41,-3,-27,7,1296,1445.548,11.53919753,88.46080247,1446,11.57407407,88.42592593
296,45,167485,1128,47,-8,-4,29,-3,-23,6,3755,3706.793,1.283808256,98.71619174,3707,1.278295606,98.72170439
251,45,125607,655,20,-8,-2,90,-8,-66,15,2907,2660.478,8.480288958,91.51971104,2660,8.496732026,91.50326797
273,13,333811,1368,33,-16,-7,-21,-35,-31,10,6994,6959.705,0.49034887,99.50965113,6960,0.486130969,99.51386903
240,45,114598,505,55,-9,-3,31,-5,-28,7,2628,2553.806,2.823211568,97.17678843,2554,2.815829528,97.18417047
316,13,413415,2232,-397,-12,-8,-15,-33,-34,11,8333,8791.581,5.503192128,94.49680787,8792,5.508220329,94.49177967
214,47,108184,2225,7,-6,7,108,1,-10,2,1067,1139.064,6.75388941,93.24611059,1139,6.747891284,93.25210872
297,1,180916,3852,16,-11,-6,20,-8,-22,5,2859,2859.288,0.010073452,99.98992655,2859,0,100
185,47,48712,1822,13,1,19,157,-11,-55,11,633,660.171,4.292417062,95.70758294,660,4.265402844,95.73459716
116,28,5718,284,12,-26,-2,3,-25,-25,9,221,208.155,5.812217195,94.18778281,208,5.882352941,94.11764706
126,51,20256,764,29,-28,-6,5,-45,-47,19,713,725.501,1.753295933,98.24670407,726,1.823281907,98.17671809
93,13,5443,637,22,-29,11,-15,-46,-47,19,176,102.146,41.9625,58.0375,102,42.04545455,57.95454545
268,47,187544,835,35,-12,-6,14,-16,-25,8,2310,2597.33,12.43852814,87.56147186,2597,12.42424242,87.57575758
142,1,13647,347,10,-5,9,40,-4,-30,10,534,561.62,5.172284644,94.82771536,562,5.243445693,94.75655431
270,47,190891,1437,22,-9,1,111,-8,-6,0,2374,2502.68,5.420387532,94.57961247,2503,5.433866891,94.56613311
156,45,13005,354,7,-2,7,38,2,-28,9,525,550.893,4.932,95.068,551,4.952380952,95.04761905
206,28,51097,1434,17,-12,-7,18,-1,-30,9,1480,1443.224,2.484864865,97.51513514,1443,2.5,97.5
133,37,15346,301,27,-20,1,42,-31,-38,14,577,575.945,0.182842288,99.81715771,576,0.173310225,99.82668977
114,12,28843,1052,60,-43,-21,-47,-55,-47,20,987,939.636,4.798784195,95.20121581,940,4.761904762,95.23809524
87,1,639,108,2,-30,-2,30,-24,-37,16,3,9.569,218.9666667,-118.9666667,10,233.3333333,-133.3333333
320,47,310937,5817,16,-10,-2,16,-14,-15,3,3893,3898.601,0.143873619,99.85612638,3899,0.154122784,99.84587722
246,13,285667,2386,62,-11,-6,35,-31,-34,8,5795,5709.897,1.468559103,98.5314409,5710,1.466781708,98.53321829
114,1,6071,240,11,-35,-13,-31,-33,-42,20,198,202.715,2.381313131,97.61868687,203,2.525252525,97.47474747
148,37,24629,488,28,-20,-6,-2,-32,-35,14,794,873.716,10.03979849,89.96020151,874,10.07556675,89.92443325
86,21,248,50,0,-33,-6,84,-27,-41,15,5,3.143,37.14,62.86,3,40,60
128,45,7142,206,11,-15,4,10,-15,-35,13,316,308.478,2.380379747,97.61962025,308,2.53164557,97.46835443
286,12,726934,1519,48,-22,-15,-24,-36,-33,8,15412,15312.661,0.64455619,99.35544381,15313,0.642356605,99.35764339
289,12,735685,3286,141,-22,-13,-21,-34,-29,8,15736,15689.58,0.294992374,99.70500763,15690,0.292323335,99.70767666
192,37,81534,2007,18,-12,0,85,-21,-34,9,1479,1497.078,1.222312373,98.77768763,1497,1.21703854,98.78296146
283,13,350033,2011,54,-14,-8,27,-27,-31,8,7348,7371.508,0.319923789,99.68007621,7372,0.326619488,99.67338051
208,21,27079,315,4,-11,2,136,2,-15,2,700,725.187,3.598142857,96.40185714,725,3.571428571,96.42857143
170,21,13197,202,2,-6,9,93,-8,-32,8,520,529.228,1.774615385,98.22538462,529,1.730769231,98.26923077
174,37,53616,805,3,-10,1,79,-23,-35,9,1223,1230.098,0.580376124,99.41962388,1230,0.572363042,99.42763696
102,12,18445,997,27,-49,-20,-54,-65,-40,15,446,565.278,26.74394619,73.25605381,565,26.68161435,73.31838565
236,12,594287,3004,51,-25,-16,-28,-44,-22,6,10325,10321.665,0.032300242,99.96769976,10322,0.02905569,99.97094431
230,28,73207,1071,44,-7,-3,17,0,-27,5,2128,2067.837,2.827208647,97.17279135,2068,2.819548872,97.18045113
107,21,2429,138,7,-28,-4,29,-31,-45,17,129,120.948,6.241860465,93.75813953,121,6.201550388,93.79844961
132,45,7792,139,15,-13,1,24,-14,-33,11,346,329.535,4.75867052,95.24132948,330,4.624277457,95.37572254
245,21,49185,789,15,-6,6,77,-6,-29,6,948,963.234,1.606962025,98.39303797,963,1.582278481,98.41772152
190,12,220476,9882,112,-22,-12,-14,-39,-36,12,3953,4104.885,3.842271692,96.15772831,4105,3.845180875,96.15481912
236,13,262099,1812,40,-17,-7,33,-32,-19,4,5132,4943.405,3.674883087,96.32511691,4943,3.682774747,96.31722525
95,51,2407,395,6,-45,-14,4,-51,-34,14,52,38.529,25.90576923,74.09423077,39,25,75
96,1,1841,208,5,-50,-18,-1,-40,-36,12,31,45.418,46.50967742,53.49032258,45,45.16129032,54.83870968
194,21,19389,268,3,-10,3,122,1,-14,2,625,658.949,5.43184,94.56816,659,5.44,94.56
95,1,1633,98,5,-41,8,4,-33,-26,11,26,36.972,42.2,57.8,37,42.30769231,57.69230769
293,51,167754,926,28,-14,-5,41,-32,-33,10,3485,3486.327,0.038077475,99.96192253,3486,0.028694405,99.9713056
205,37,107432,1945,28,-13,-2,44,-25,-35,11,1726,1979.496,14.68690614,85.31309386,1979,14.65816918,85.34183082
85,21,198,35,1,-33,-5,69,-23,-40,15,5,3.893,22.14,77.86,4,20,80
265,1,145780,818,2,-9,-4,28,-5,-26,5,2439,2467.975,1.18798688,98.81201312,2468,1.18901189,98.81098811
263,45,137240,922,11,-8,1,67,-2,-11,1,3188,2976.385,6.637860728,93.36213927,2976,6.649937265,93.35006274
171,1,29017,803,13,-6,5,72,4,-29,6,823,817.129,0.713365735,99.28663426,817,0.729040097,99.2709599
98,21,1149,141,6,-33,-3,55,-28,-47,16,65,56.744,12.70153846,87.29846154,57,12.30769231,87.69230769
218,47,114098,1657,27,-3,5,101,-10,-32,7,1144,1139.817,0.365646853,99.63435315,1140,0.34965035,99.65034965
240,12,605342,3229,135,-25,-16,-23,-41,-34,10,10868,10752.601,1.061823703,98.9381763,10753,1.058152374,98.94184763
179,12,130092,9518,24,-26,-10,-13,-40,-17,6,3390,3317.808,2.129557522,97.87044248,3318,2.123893805,97.87610619
274,21,68840,984,4,-9,2,68,-5,-27,5,1174,1190.102,1.371550256,98.62844974,1190,1.36286201,98.63713799
314,37,294860,1521,8,-14,-3,27,-28,-28,7,4615,4642.116,0.587562297,99.4124377,4642,0.585048754,99.41495125
198,12,311640,13764,156,-22,-10,-15,-41,-37,12,4677,4600.932,1.626427197,98.3735728,4601,1.624973273,98.37502673
311,47,273144,1373,32,-12,-7,38,-14,-23,6,3541,3627.092,2.431290596,97.5687094,3627,2.42869246,97.57130754
298,37,258292,2584,30,-12,-1,100,-16,-10,1,4144,3793.432,8.45965251,91.54034749,3793,8.47007722,91.52992278
255,1,136703,1138,32,-11,-6,38,-7,-26,4,2333,2336.368,0.14436348,99.85563652,2336,0.128589799,99.8714102
220,21,33796,542,4,-9,4,159,-4,-32,7,764,761.473,0.330759162,99.66924084,761,0.392670157,99.60732984
127,13,28998,802,69,-18,-2,17,-40,-42,15,1327,1175.982,11.38040693,88.61959307,1176,11.37905049,88.62094951
121,13,25241,537,57,-23,-4,-15,-44,-45,18,1111,1024.974,7.743114311,92.25688569,1025,7.740774077,92.25922592
276,47,198403,971,14,-7,-1,62,-10,-24,4,2515,2542.825,1.106361829,98.89363817,2543,1.11332008,98.88667992
99,13,10080,1130,20,-39,-14,-6,-49,-52,20,371,305.039,17.77924528,82.22075472,305,17.78975741,82.21024259
318,1,213617,2980,18,-12,-6,11,-11,-21,6,3231,3248.711,0.548158465,99.45184154,3249,0.557103064,99.44289694
328,47,344550,4074,35,-5,2,18,-14,-28,8,4301,4326,0.581260172,99.41873983,4326,0.581260172,99.41873983
239,47,147353,1936,20,-8,0,69,-16,-28,7,1648,1775.555,7.739987864,92.26001214,1776,7.766990291,92.23300971
240,28,81294,599,14,-14,-10,8,-6,-24,8,2413,2362.521,2.091960215,97.90803978,2363,2.072109407,97.92789059
248,21,51677,792,11,-8,6,133,3,-33,6,987,991.854,0.491793313,99.50820669,992,0.506585613,99.49341439
163,51,53211,564,14,-17,-1,50,-35,-40,14,1534,1539.654,0.368578879,99.63142112,1540,0.391134289,99.60886571
243,12,614753,2547,14,-27,-19,-34,-46,-23,6,11119,11153.799,0.312968792,99.68703121,11154,0.314776509,99.68522349
197,1,59113,1805,45,-3,3,42,1,-31,8,1211,1228.494,1.444591247,98.55540875,1228,1.403798514,98.59620149
151,47,22720,484,5,-9,8,133,-5,-5,1,366,372.968,1.903825137,98.09617486,373,1.912568306,98.08743169
289,45,161106,1297,14,-8,-3,25,-2,-24,6,3607,3541.959,1.803188245,98.19681175,3542,1.802051566,98.19794843
304,28,120160,824,6,-10,-6,0,8,-25,2,3334,3231.44,3.076184763,96.92381524,3231,3.089382124,96.91061788
100,1,2838,339,0,-35,-4,5,-31,-43,18,48,61.681,28.50208333,71.49791667,62,29.16666667,70.83333333
129,28,9378,288,13,-20,-3,-12,-19,-34,15,422,389.172,7.779146919,92.22085308,389,7.819905213,92.18009479
173,13,64673,885,1,-14,0,50,-35,-18,2,2643,2641.208,0.06780174,99.93219826,2641,0.075671585,99.92432841
191,28,34622,1031,11,-2,3,38,3,-29,8,1215,1147.026,5.594567901,94.4054321,1147,5.596707819,94.40329218
128,37,13397,639,30,-22,2,29,-37,-40,15,507,513.239,1.230571992,98.76942801,513,1.183431953,98.81656805
135,21,7225,145,2,-18,7,90,-17,-39,12,328,326.587,0.430792683,99.56920732,327,0.304878049,99.69512195
236,21,43529,463,9,-11,2,123,1,-12,1,881,887.296,0.714642452,99.28535755,887,0.681044268,99.31895573
254,37,184179,1307,32,-14,-3,49,-25,-33,7,2990,3034.944,1.503143813,98.49685619,3035,1.505016722,98.49498328
295,51,170104,1332,9,-12,-3,56,-31,-34,10,3524,3522.678,0.037514188,99.96248581,3523,0.028376844,99.97162316
138,45,8816,155,5,-12,4,51,-4,-23,5,385,385.554,0.143896104,99.8561039,386,0.25974026,99.74025974
220,51,99189,1307,5,-14,-2,76,-31,-39,11,2322,2280.863,1.771619294,98.22838071,2281,1.765719208,98.23428079
284,47,212649,1646,26,-17,-6,29,-8,-11,4,2758,2906.997,5.40235678,94.59764322,2907,5.402465555,94.59753445
317,12,851825,5504,72,-24,-17,-40,-41,-34,12,17372,17343.696,0.162928851,99.83707115,17344,0.161178909,99.83882109
131,47,15060,217,1,-12,14,50,-20,-23,3,243,264.85,8.991769547,91.00823045,265,9.053497942,90.94650206
187,47,51431,1291,9,-14,-4,79,-8,-21,3,646,756.087,17.04133127,82.95866873,756,17.02786378,82.97213622
161,12,64448,1070,53,-20,-10,-20,-41,-32,12,2765,2692.862,2.608969259,97.39103074,2693,2.6039783,97.3960217
157,21,10977,272,8,-10,9,105,-10,-33,10,466,467.565,0.33583691,99.66416309,468,0.429184549,99.57081545
94,13,5931,488,22,-37,0,4,-50,-48,20,198,122.02,38.37373737,61.62626263,122,38.38383838,61.61616162
